ℹ Initial learn rate: 0.0
E    #       LOSS TRANS...  LOSS RELAT...  REL_MICRO_P  REL_MICRO_R  REL_MICRO_F  SCORE 
---  ------  -------------  -------------  -----------  -----------  -----------  ------
  0       0           0.26           2.22         1.42        58.45         2.77    0.03
  9     100          28.23          52.73        92.45        90.49        91.46    0.91
 18     200           0.07           1.47        94.92        98.59        96.72    0.97
 27     300           0.02           0.55        96.48        96.48        96.48    0.96
 36     400           0.01           0.29        94.59        98.59        96.55    0.97
 45     500           0.01           0.16        94.90        98.24        96.54    0.97
 54     600           0.01           0.16        92.16        99.30        95.59    0.96
 63     700           0.01           0.08        93.07        99.30        96.08    0.96
 72     800           0.00           0.03        92.76        99.30        95.92    0.96
 81     900           0.00           0.03        93.38        99.30        96.25    0.96
 90    1000           0.00           0.02        92.76        99.30        95.92    0.96
