ℹ Initial learn rate: 0.0
E    #       LOSS TRANS...  LOSS RELAT...  REL_MICRO_P  REL_MICRO_R  REL_MICRO_F  SCORE 
---  ------  -------------  -------------  -----------  -----------  -----------  ------
  0       0           0.26           2.22         1.42        58.45         2.77    0.03
  2      50          14.03          50.41         0.00         0.00         0.00    0.00
  4     100           0.07           4.09        92.44        77.46        84.29    0.84
  6     150           0.05           1.90        95.86        89.79        92.73    0.93
  9     200           0.02           0.71        91.78        98.24        94.90    0.95
 11     250           0.01           0.41        93.60        97.89        95.70    0.96
 13     300           0.01           0.29        92.69        98.24        95.38    0.95
 15     350           0.00           0.24        91.50        98.59        94.92    0.95
 18     400           0.00           0.23        98.24        98.24        98.24    0.98
 20     450           0.00           0.20        94.59        98.59        96.55    0.97
 22     500           0.00           0.14        99.29        98.59        98.94    0.99
