ℹ Initial learn rate: 0.0
E    #       LOSS TRANS...  LOSS RELAT...  REL_MICRO_P  REL_MICRO_R  REL_MICRO_F  SCORE 
---  ------  -------------  -------------  -----------  -----------  -----------  ------
  0       0           0.26           2.22         1.42        58.45         2.77    0.03
  4     100          14.10          54.50        91.29        77.46        83.81    0.84
  9     200           0.07           2.62        92.00        97.18        94.52    0.95
 13     300           0.02           0.74        99.28        97.54        98.40    0.98
 18     400           0.01           0.50        96.48        96.48        96.48    0.96
 22     500           0.01           0.36        95.89        98.59        97.22    0.97
 27     600           0.00           0.25        93.33        98.59        95.89    0.96
 31     700           0.00           0.15        95.88        98.24        97.04    0.97
 36     800           0.00           0.12        95.88        98.24        97.04    0.97
 40     900           0.00           0.06        93.33        98.59        95.89    0.96
 45    1000           0.00           0.03        93.38        99.30        96.25    0.96
