ℹ Initial learn rate: 0.0
E    #       LOSS TRANS...  LOSS RELAT...  REL_MICRO_P  REL_MICRO_R  REL_MICRO_F  SCORE 
---  ------  -------------  -------------  -----------  -----------  -----------  ------
  0       0           0.26           2.22         1.42        58.45         2.77    0.03
  8      50          51.46          48.69         0.00         0.00         0.00    0.00
 16     100           0.21           2.87        95.36        94.01        94.68    0.95
 25     150           0.04           0.57        98.23        97.89        98.06    0.98
 33     200           0.02           0.30        98.55        95.77        97.14    0.97
 41     250           0.03           0.30        92.11        98.59        95.24    0.95
 50     300           0.01           0.16        94.28        98.59        96.39    0.96
 58     350           0.00           0.11        93.02        98.59        95.73    0.96
 66     400           0.01           0.09        93.33        98.59        95.89    0.96
 75     450           0.00           0.06        93.02        98.59        95.73    0.96
 83     500           0.00           0.03        93.07        99.30        96.08    0.96
✔ Saved pipeline to output directory
