ℹ Initial learn rate: 0.0
E    #       LOSS TRANS...  LOSS RELAT...  REL_MICRO_P  REL_MICRO_R  REL_MICRO_F  SCORE 
---  ------  -------------  -------------  -----------  -----------  -----------  ------
  0       0           0.26           2.22         1.42        58.45         2.77    0.03
  4      50          28.09          49.27         0.00         0.00         0.00    0.00
  9     100           0.14           3.46        92.81        90.85        91.81    0.92
 13     150           0.05           0.96        96.45        95.77        96.11    0.96
 18     200           0.02           0.50        95.24        98.59        96.89    0.97
 22     250           0.01           0.31        96.55        98.59        97.56    0.98
 27     300           0.01           0.23        99.28        96.83        98.04    0.98
 31     350           0.01           0.18        96.55        98.59        97.56    0.98
 36     400           0.00           0.12        97.90        98.59        98.25    0.98
 40     450           0.00           0.10        97.56        98.59        98.07    0.98
 45     500           0.00           0.07        96.89        98.59        97.73    0.98
